PainLocation,AgeGroup,Intensity,Capacity,RecommendedExercise,Frequency
PCOS,Senior,High,Advanced,Cardio Exercises,Bi-Weekly
PCOS,Adult,Low,Advanced,Strength Training,Daily
Neck,Teen,Medium,Beginner,Neck Rotations,Weekly
Back,Senior,High,Beginner,Cat-Cow Stretch,Daily
Osteoporotic,Child,High,Intermediate,Tai Chi,Weekly
Knee,Adult,Low,Beginner,Squats,Daily
PCOS,Teen,Medium,Beginner,Cardio Exercises,Daily
Osteoporotic,Adult,Medium,Intermediate,Balance Exercises,Daily
Elbow,Adult,Medium,Intermediate,Wrist Flexor Stretch,Daily
Shoulder,Child,Medium,Intermediate,Wall Push-ups,Daily
Osteoporotic,Teen,Medium,Beginner,Tai Chi,Weekly
Knee,Senior,High,Beginner,Squats,Bi-Weekly
Ankle,Child,Medium,Beginner,Calf Raises,Weekly
Elbow,Adult,Medium,Beginner,Resistance Band Curls,Weekly
Back,Adult,Low,Intermediate,Deadlifts,Weekly
Shoulder,Adult,High,Advanced,Arm Circles,Weekly
Back,Child,Low,Intermediate,Superman Exercise,Bi-Weekly
Ankle,Child,High,Intermediate,Ankle Circles,Weekly
Back,Teen,High,Advanced,Deadlifts,Daily
Knee,Teen,Medium,Intermediate,Leg Raises,Weekly
Osteoporotic,Adult,Low,Beginner,Weight Training,Weekly
Shoulder,Teen,Low,Advanced,Wall Push-ups,Bi-Weekly
PCOS,Senior,High,Intermediate,Yoga,Bi-Weekly
Neck,Adult,High,Beginner,Shoulder Shrugs,Weekly
PCOS,Adult,Medium,Intermediate,Strength Training,Daily
Ankle,Child,Low,Intermediate,Ankle Circles,Weekly
Neck,Adult,High,Beginner,Neck Rotations,Weekly
Knee,Child,Medium,Advanced,Leg Raises,Daily
Osteoporotic,Child,Low,Advanced,Balance Exercises,Daily
Neck,Child,High,Advanced,Neck Tilts,Bi-Weekly
PCOS,Child,Low,Advanced,Strength Training,Weekly
Osteoporotic,Teen,Medium,Beginner,Balance Exercises,Weekly
Ankle,Senior,Medium,Advanced,Ankle Circles,Weekly
Osteoporotic,Adult,Low,Beginner,Balance Exercises,Bi-Weekly
Neck,Adult,High,Beginner,Shoulder Shrugs,Daily
Shoulder,Senior,Medium,Beginner,Shoulder Rolls,Weekly
Knee,Senior,Medium,Beginner,Leg Raises,Bi-Weekly
Elbow,Adult,High,Beginner,Wrist Flexor Stretch,Bi-Weekly
Knee,Adult,Medium,Beginner,Lunges,Weekly
Neck,Senior,High,Advanced,Neck Rotations,Daily
Knee,Senior,Low,Intermediate,Leg Raises,Weekly
Elbow,Child,Low,Beginner,Resistance Band Curls,Daily
Neck,Senior,Medium,Intermediate,Neck Tilts,Bi-Weekly
Shoulder,Teen,Medium,Intermediate,Shoulder Rolls,Bi-Weekly
Elbow,Adult,Medium,Intermediate,Resistance Band Curls,Weekly
Shoulder,Senior,High,Beginner,Arm Circles,Weekly
PCOS,Child,Medium,Beginner,Strength Training,Weekly
Osteoporotic,Adult,Low,Intermediate,Weight Training,Bi-Weekly
Shoulder,Senior,High,Advanced,Wall Push-ups,Weekly
Neck,Senior,Low,Beginner,Neck Rotations,Bi-Weekly
Knee,Teen,High,Beginner,Leg Raises,Weekly
PCOS,Senior,Medium,Intermediate,Yoga,Weekly
Neck,Child,Low,Beginner,Shoulder Shrugs,Bi-Weekly
Back,Adult,High,Beginner,Superman Exercise,Bi-Weekly
Neck,Teen,High,Beginner,Neck Tilts,Daily
Shoulder,Teen,Low,Intermediate,Shoulder Rolls,Bi-Weekly
Elbow,Child,Low,Advanced,Resistance Band Curls,Bi-Weekly
Elbow,Child,Low,Advanced,Wrist Flexor Stretch,Weekly
Knee,Senior,High,Beginner,Squats,Daily
Neck,Child,Low,Advanced,Neck Tilts,Weekly
Elbow,Teen,Medium,Beginner,Wrist Flexor Stretch,Daily
PCOS,Senior,Low,Intermediate,Yoga,Bi-Weekly
Elbow,Teen,Medium,Advanced,Tricep Dips,Bi-Weekly
Osteoporotic,Adult,High,Beginner,Weight Training,Weekly
PCOS,Child,High,Advanced,Strength Training,Weekly
Knee,Child,High,Intermediate,Leg Raises,Bi-Weekly
Knee,Child,High,Intermediate,Leg Raises,Bi-Weekly
Elbow,Teen,High,Advanced,Tricep Dips,Bi-Weekly
Knee,Child,Medium,Intermediate,Leg Raises,Weekly
PCOS,Senior,High,Advanced,Cardio Exercises,Daily
Ankle,Child,High,Beginner,Ankle Circles,Daily
Elbow,Child,High,Advanced,Tricep Dips,Weekly
Neck,Teen,Low,Beginner,Neck Tilts,Bi-Weekly
PCOS,Adult,High,Intermediate,Yoga,Daily
Shoulder,Senior,Low,Advanced,Wall Push-ups,Daily
Back,Teen,High,Beginner,Cat-Cow Stretch,Weekly
Shoulder,Teen,High,Intermediate,Wall Push-ups,Weekly
Osteoporotic,Child,Medium,Beginner,Balance Exercises,Bi-Weekly
Osteoporotic,Senior,High,Advanced,Balance Exercises,Daily
Elbow,Senior,Low,Advanced,Tricep Dips,Daily
Ankle,Child,High,Advanced,Calf Raises,Bi-Weekly
Shoulder,Adult,High,Intermediate,Shoulder Rolls,Daily
PCOS,Child,Medium,Beginner,Strength Training,Weekly
Back,Senior,Low,Advanced,Deadlifts,Weekly
PCOS,Adult,Low,Advanced,Yoga,Daily
Neck,Teen,High,Intermediate,Neck Tilts,Daily
Shoulder,Teen,High,Beginner,Wall Push-ups,Weekly
Back,Teen,Low,Advanced,Deadlifts,Bi-Weekly
PCOS,Child,Low,Beginner,Strength Training,Daily
Knee,Adult,Medium,Advanced,Leg Raises,Bi-Weekly
Knee,Adult,Low,Advanced,Squats,Bi-Weekly
Knee,Adult,High,Beginner,Squats,Daily
Knee,Senior,Low,Advanced,Squats,Bi-Weekly
Elbow,Adult,High,Intermediate,Tricep Dips,Weekly
Elbow,Adult,High,Beginner,Resistance Band Curls,Weekly
Back,Child,Low,Advanced,Deadlifts,Daily
Osteoporotic,Senior,Low,Beginner,Weight Training,Bi-Weekly
Knee,Senior,High,Intermediate,Lunges,Bi-Weekly
Neck,Adult,Medium,Advanced,Shoulder Shrugs,Daily
Osteoporotic,Adult,Medium,Intermediate,Tai Chi,Daily
Neck,Child,Medium,Intermediate,Shoulder Shrugs,Daily
Shoulder,Child,Medium,Advanced,Arm Circles,Bi-Weekly
Neck,Adult,Low,Beginner,Shoulder Shrugs,Weekly
Neck,Child,High,Intermediate,Neck Tilts,Bi-Weekly
Shoulder,Child,Medium,Advanced,Shoulder Rolls,Daily
Elbow,Senior,Medium,Intermediate,Tricep Dips,Daily
PCOS,Adult,Medium,Beginner,Cardio Exercises,Bi-Weekly
Back,Senior,High,Beginner,Deadlifts,Weekly
Elbow,Senior,Medium,Intermediate,Resistance Band Curls,Daily
Osteoporotic,Adult,Low,Advanced,Balance Exercises,Bi-Weekly
Ankle,Senior,Low,Beginner,Ankle Circles,Weekly
PCOS,Child,Medium,Beginner,Cardio Exercises,Bi-Weekly
Ankle,Adult,Low,Advanced,Toe Walks,Daily
Knee,Adult,Low,Beginner,Lunges,Bi-Weekly
Neck,Child,High,Advanced,Neck Rotations,Weekly
Knee,Adult,Medium,Intermediate,Lunges,Bi-Weekly
Neck,Senior,High,Advanced,Neck Rotations,Weekly
Ankle,Teen,Low,Advanced,Ankle Circles,Bi-Weekly
PCOS,Teen,Low,Advanced,Cardio Exercises,Daily
Back,Adult,High,Advanced,Superman Exercise,Daily
Knee,Teen,Medium,Intermediate,Leg Raises,Daily
Knee,Teen,High,Advanced,Lunges,Bi-Weekly
Neck,Senior,Low,Beginner,Neck Rotations,Bi-Weekly
Ankle,Adult,Medium,Intermediate,Ankle Circles,Daily
Back,Teen,Medium,Intermediate,Deadlifts,Bi-Weekly
Shoulder,Child,Low,Beginner,Wall Push-ups,Daily
Knee,Adult,Medium,Intermediate,Squats,Daily
Back,Teen,Medium,Intermediate,Deadlifts,Bi-Weekly
PCOS,Child,Low,Advanced,Yoga,Bi-Weekly
Knee,Senior,Medium,Beginner,Leg Raises,Weekly
Back,Child,Low,Intermediate,Deadlifts,Weekly
Back,Teen,Medium,Intermediate,Deadlifts,Weekly
Osteoporotic,Teen,Medium,Advanced,Weight Training,Weekly
Back,Adult,High,Intermediate,Deadlifts,Weekly
Elbow,Child,Low,Advanced,Resistance Band Curls,Weekly
PCOS,Teen,High,Advanced,Cardio Exercises,Bi-Weekly
PCOS,Adult,Medium,Intermediate,Yoga,Weekly
Ankle,Child,Low,Beginner,Ankle Circles,Daily
Elbow,Adult,High,Intermediate,Tricep Dips,Bi-Weekly
Knee,Child,Low,Advanced,Squats,Bi-Weekly
Osteoporotic,Senior,Medium,Beginner,Tai Chi,Daily
Osteoporotic,Child,Low,Beginner,Tai Chi,Daily
Osteoporotic,Child,High,Advanced,Weight Training,Weekly
Knee,Adult,Low,Advanced,Leg Raises,Daily
Osteoporotic,Adult,High,Advanced,Tai Chi,Daily
PCOS,Senior,High,Intermediate,Yoga,Weekly
Elbow,Adult,Low,Advanced,Wrist Flexor Stretch,Weekly
Back,Senior,Low,Intermediate,Deadlifts,Daily
Osteoporotic,Adult,Low,Beginner,Balance Exercises,Daily
PCOS,Senior,Low,Beginner,Yoga,Bi-Weekly
Elbow,Senior,Medium,Beginner,Tricep Dips,Weekly
Neck,Adult,High,Advanced,Neck Tilts,Weekly
Knee,Child,High,Advanced,Squats,Weekly
Knee,Senior,Low,Beginner,Lunges,Bi-Weekly
Osteoporotic,Adult,Medium,Intermediate,Tai Chi,Bi-Weekly
PCOS,Adult,Medium,Advanced,Cardio Exercises,Bi-Weekly
Elbow,Child,Low,Beginner,Tricep Dips,Daily
Back,Child,High,Beginner,Deadlifts,Daily
Elbow,Senior,Medium,Advanced,Wrist Flexor Stretch,Weekly
PCOS,Senior,High,Beginner,Cardio Exercises,Weekly
Ankle,Senior,High,Advanced,Toe Walks,Weekly
Elbow,Senior,Medium,Beginner,Resistance Band Curls,Bi-Weekly
Elbow,Senior,Medium,Beginner,Resistance Band Curls,Daily
Back,Teen,Low,Advanced,Deadlifts,Bi-Weekly
Back,Adult,High,Intermediate,Superman Exercise,Daily
Back,Child,Medium,Intermediate,Superman Exercise,Weekly
Shoulder,Teen,Medium,Intermediate,Arm Circles,Bi-Weekly
Knee,Senior,Low,Beginner,Leg Raises,Weekly
Back,Adult,Medium,Intermediate,Deadlifts,Weekly
Ankle,Senior,Low,Intermediate,Calf Raises,Weekly
Neck,Child,Medium,Intermediate,Shoulder Shrugs,Bi-Weekly
Osteoporotic,Teen,Medium,Advanced,Balance Exercises,Bi-Weekly
Knee,Child,High,Advanced,Squats,Daily
Osteoporotic,Teen,High,Advanced,Balance Exercises,Bi-Weekly
Shoulder,Teen,Medium,Advanced,Wall Push-ups,Weekly
Neck,Child,Medium,Intermediate,Neck Tilts,Daily
Shoulder,Child,Medium,Advanced,Shoulder Rolls,Weekly
Ankle,Adult,High,Intermediate,Toe Walks,Weekly
PCOS,Child,High,Intermediate,Cardio Exercises,Bi-Weekly
Back,Teen,Medium,Intermediate,Superman Exercise,Bi-Weekly
Osteoporotic,Adult,High,Advanced,Tai Chi,Bi-Weekly
Knee,Senior,High,Advanced,Squats,Bi-Weekly
Osteoporotic,Teen,Low,Intermediate,Weight Training,Bi-Weekly
Ankle,Senior,High,Intermediate,Toe Walks,Weekly
Osteoporotic,Teen,High,Intermediate,Balance Exercises,Bi-Weekly
Shoulder,Child,Medium,Intermediate,Arm Circles,Daily
Neck,Senior,High,Beginner,Neck Tilts,Daily
Elbow,Adult,High,Beginner,Tricep Dips,Bi-Weekly
Ankle,Senior,Medium,Beginner,Calf Raises,Daily
PCOS,Child,Medium,Advanced,Cardio Exercises,Daily
PCOS,Teen,High,Advanced,Yoga,Daily
Shoulder,Senior,Medium,Intermediate,Wall Push-ups,Weekly
Knee,Child,High,Beginner,Lunges,Weekly
Osteoporotic,Senior,High,Intermediate,Weight Training,Weekly
Shoulder,Teen,High,Intermediate,Arm Circles,Daily
Neck,Child,Medium,Intermediate,Neck Tilts,Bi-Weekly
Neck,Senior,Low,Intermediate,Neck Rotations,Weekly
Shoulder,Senior,Low,Beginner,Arm Circles,Weekly
Elbow,Child,Low,Intermediate,Resistance Band Curls,Weekly
Back,Senior,Low,Beginner,Superman Exercise,Weekly
Shoulder,Senior,Medium,Advanced,Arm Circles,Bi-Weekly
Shoulder,Adult,Medium,Beginner,Shoulder Rolls,Weekly
Neck,Child,Medium,Intermediate,Neck Tilts,Weekly
Elbow,Child,Medium,Beginner,Tricep Dips,Bi-Weekly
PCOS,Adult,High,Intermediate,Strength Training,Weekly
Shoulder,Teen,Low,Beginner,Arm Circles,Bi-Weekly
Elbow,Senior,Low,Intermediate,Tricep Dips,Weekly
Neck,Adult,Low,Intermediate,Neck Rotations,Bi-Weekly
Ankle,Adult,Low,Intermediate,Calf Raises,Weekly
Elbow,Teen,Low,Advanced,Tricep Dips,Daily
Back,Child,Low,Intermediate,Cat-Cow Stretch,Daily
Ankle,Child,Low,Intermediate,Calf Raises,Bi-Weekly
PCOS,Child,High,Beginner,Strength Training,Daily
Knee,Adult,High,Intermediate,Squats,Bi-Weekly
Elbow,Adult,Low,Beginner,Tricep Dips,Weekly
Osteoporotic,Child,Medium,Advanced,Weight Training,Bi-Weekly
Shoulder,Adult,Medium,Intermediate,Arm Circles,Bi-Weekly
Shoulder,Senior,Low,Intermediate,Arm Circles,Weekly
Ankle,Adult,Low,Intermediate,Ankle Circles,Bi-Weekly
PCOS,Child,Low,Intermediate,Yoga,Daily
Back,Teen,High,Intermediate,Deadlifts,Bi-Weekly
Back,Child,Medium,Beginner,Superman Exercise,Bi-Weekly
PCOS,Teen,Low,Intermediate,Yoga,Bi-Weekly
Shoulder,Child,High,Beginner,Arm Circles,Daily
Neck,Senior,High,Intermediate,Neck Tilts,Bi-Weekly
Ankle,Senior,High,Intermediate,Ankle Circles,Daily
Neck,Teen,Low,Beginner,Neck Tilts,Daily
Elbow,Adult,High,Intermediate,Wrist Flexor Stretch,Weekly
Shoulder,Adult,Low,Beginner,Arm Circles,Bi-Weekly
Back,Teen,Low,Intermediate,Superman Exercise,Weekly
Elbow,Teen,Medium,Intermediate,Tricep Dips,Daily
Knee,Adult,Medium,Intermediate,Squats,Daily
Neck,Teen,Medium,Advanced,Neck Rotations,Daily
Knee,Senior,High,Intermediate,Lunges,Bi-Weekly
Back,Teen,High,Beginner,Deadlifts,Weekly
Shoulder,Adult,High,Intermediate,Wall Push-ups,Weekly
Back,Teen,High,Advanced,Superman Exercise,Bi-Weekly
Osteoporotic,Adult,High,Beginner,Tai Chi,Weekly
Osteoporotic,Teen,High,Advanced,Tai Chi,Weekly
Osteoporotic,Child,High,Intermediate,Weight Training,Bi-Weekly
Shoulder,Child,Medium,Beginner,Arm Circles,Weekly
Neck,Teen,High,Beginner,Neck Tilts,Daily
Neck,Teen,High,Advanced,Neck Tilts,Weekly
Ankle,Child,Medium,Beginner,Calf Raises,Weekly
Osteoporotic,Teen,Low,Advanced,Tai Chi,Weekly
Back,Adult,Low,Intermediate,Superman Exercise,Bi-Weekly
Ankle,Teen,Low,Beginner,Toe Walks,Daily
Osteoporotic,Child,Low,Intermediate,Weight Training,Daily
Back,Child,Medium,Advanced,Cat-Cow Stretch,Bi-Weekly
Elbow,Teen,High,Advanced,Resistance Band Curls,Weekly
Knee,Teen,High,Beginner,Lunges,Bi-Weekly
Back,Teen,Low,Beginner,Cat-Cow Stretch,Weekly
Neck,Senior,High,Beginner,Neck Rotations,Bi-Weekly
Osteoporotic,Child,High,Advanced,Weight Training,Bi-Weekly
Ankle,Teen,Medium,Advanced,Calf Raises,Daily
PCOS,Teen,Medium,Advanced,Yoga,Bi-Weekly
Neck,Senior,High,Advanced,Neck Rotations,Weekly
PCOS,Adult,Low,Intermediate,Cardio Exercises,Daily
Knee,Senior,Low,Advanced,Lunges,Daily
PCOS,Adult,Medium,Advanced,Strength Training,Daily
Back,Senior,Low,Beginner,Deadlifts,Weekly
Ankle,Teen,High,Advanced,Toe Walks,Weekly
Knee,Teen,High,Intermediate,Squats,Bi-Weekly
Knee,Adult,High,Beginner,Leg Raises,Bi-Weekly
Ankle,Adult,High,Intermediate,Calf Raises,Bi-Weekly
Osteoporotic,Senior,High,Beginner,Balance Exercises,Bi-Weekly
Shoulder,Senior,Medium,Intermediate,Shoulder Rolls,Weekly
Knee,Senior,Low,Beginner,Leg Raises,Daily
Back,Adult,High,Beginner,Superman Exercise,Daily
Shoulder,Adult,High,Beginner,Arm Circles,Weekly
PCOS,Teen,Low,Beginner,Yoga,Bi-Weekly
Knee,Child,High,Intermediate,Lunges,Weekly
Back,Adult,High,Advanced,Superman Exercise,Daily
Elbow,Adult,Low,Intermediate,Resistance Band Curls,Weekly
Ankle,Adult,High,Intermediate,Calf Raises,Weekly
Back,Adult,High,Advanced,Superman Exercise,Bi-Weekly
Elbow,Adult,Medium,Intermediate,Resistance Band Curls,Daily
Shoulder,Teen,High,Beginner,Wall Push-ups,Daily
PCOS,Adult,Low,Advanced,Yoga,Bi-Weekly
Elbow,Senior,High,Advanced,Tricep Dips,Bi-Weekly
Osteoporotic,Child,Medium,Advanced,Balance Exercises,Weekly
PCOS,Teen,Low,Beginner,Yoga,Bi-Weekly
Shoulder,Teen,Low,Intermediate,Shoulder Rolls,Weekly
Knee,Teen,High,Advanced,Leg Raises,Weekly
Neck,Child,Low,Advanced,Neck Tilts,Weekly
Back,Teen,Low,Advanced,Deadlifts,Bi-Weekly
Osteoporotic,Teen,Low,Intermediate,Weight Training,Bi-Weekly
Back,Teen,High,Intermediate,Cat-Cow Stretch,Weekly
Back,Adult,Medium,Advanced,Deadlifts,Weekly
Ankle,Adult,High,Advanced,Ankle Circles,Daily
Elbow,Adult,Low,Intermediate,Tricep Dips,Daily
Knee,Teen,High,Advanced,Leg Raises,Weekly
Shoulder,Senior,Low,Beginner,Arm Circles,Weekly
Elbow,Teen,High,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Ankle,Child,High,Beginner,Calf Raises,Daily
Knee,Adult,Medium,Advanced,Lunges,Daily
Neck,Child,Low,Advanced,Neck Rotations,Daily
Neck,Teen,Medium,Beginner,Neck Rotations,Daily
Neck,Teen,High,Beginner,Neck Tilts,Daily
Shoulder,Teen,Medium,Advanced,Wall Push-ups,Bi-Weekly
Knee,Child,Medium,Advanced,Leg Raises,Daily
Ankle,Senior,High,Beginner,Ankle Circles,Daily
Osteoporotic,Child,Low,Beginner,Weight Training,Daily
Osteoporotic,Teen,High,Intermediate,Weight Training,Daily
Elbow,Teen,Medium,Intermediate,Resistance Band Curls,Bi-Weekly
PCOS,Child,High,Intermediate,Strength Training,Bi-Weekly
PCOS,Child,Medium,Advanced,Cardio Exercises,Bi-Weekly
PCOS,Child,High,Intermediate,Yoga,Bi-Weekly
Neck,Adult,Low,Advanced,Neck Rotations,Weekly
Osteoporotic,Adult,High,Advanced,Tai Chi,Weekly
Osteoporotic,Adult,Low,Advanced,Balance Exercises,Daily
PCOS,Senior,High,Beginner,Strength Training,Daily
Ankle,Adult,Medium,Advanced,Calf Raises,Weekly
Neck,Child,Medium,Beginner,Neck Rotations,Daily
Shoulder,Child,High,Beginner,Wall Push-ups,Daily
Ankle,Teen,Medium,Beginner,Ankle Circles,Daily
Ankle,Child,Medium,Advanced,Calf Raises,Weekly
Back,Senior,Low,Beginner,Superman Exercise,Daily
Osteoporotic,Child,High,Intermediate,Balance Exercises,Daily
Elbow,Teen,Low,Intermediate,Tricep Dips,Weekly
Elbow,Teen,High,Beginner,Resistance Band Curls,Daily
Ankle,Adult,High,Intermediate,Ankle Circles,Bi-Weekly
PCOS,Teen,High,Advanced,Strength Training,Bi-Weekly
Osteoporotic,Senior,High,Beginner,Balance Exercises,Daily
Osteoporotic,Teen,Low,Intermediate,Tai Chi,Daily
Elbow,Child,Low,Intermediate,Resistance Band Curls,Bi-Weekly
Back,Adult,Low,Advanced,Cat-Cow Stretch,Daily
Back,Adult,Low,Intermediate,Superman Exercise,Daily
Knee,Adult,Medium,Beginner,Squats,Bi-Weekly
Back,Adult,Medium,Advanced,Cat-Cow Stretch,Daily
Ankle,Adult,High,Intermediate,Calf Raises,Bi-Weekly
Shoulder,Adult,Low,Intermediate,Arm Circles,Bi-Weekly
Elbow,Senior,High,Beginner,Tricep Dips,Daily
Shoulder,Teen,Low,Advanced,Shoulder Rolls,Weekly
Knee,Teen,Low,Beginner,Lunges,Bi-Weekly
Neck,Teen,High,Beginner,Shoulder Shrugs,Bi-Weekly
Elbow,Teen,Medium,Beginner,Tricep Dips,Weekly
Osteoporotic,Teen,High,Advanced,Weight Training,Daily
Back,Child,Medium,Intermediate,Superman Exercise,Weekly
PCOS,Adult,High,Intermediate,Strength Training,Daily
Elbow,Senior,Medium,Intermediate,Tricep Dips,Daily
Ankle,Senior,Low,Advanced,Toe Walks,Daily
Back,Senior,Low,Advanced,Deadlifts,Weekly
Elbow,Adult,High,Intermediate,Wrist Flexor Stretch,Daily
Ankle,Senior,Medium,Advanced,Ankle Circles,Weekly
Osteoporotic,Child,High,Beginner,Balance Exercises,Bi-Weekly
Neck,Senior,High,Advanced,Neck Rotations,Weekly
Elbow,Adult,High,Intermediate,Resistance Band Curls,Daily
Osteoporotic,Adult,High,Beginner,Balance Exercises,Weekly
Elbow,Teen,Low,Beginner,Resistance Band Curls,Bi-Weekly
Shoulder,Senior,Medium,Beginner,Wall Push-ups,Bi-Weekly
Shoulder,Teen,Low,Intermediate,Shoulder Rolls,Weekly
Neck,Senior,Medium,Intermediate,Shoulder Shrugs,Weekly
Ankle,Adult,Low,Intermediate,Toe Walks,Bi-Weekly
PCOS,Senior,Medium,Beginner,Yoga,Bi-Weekly
Ankle,Adult,Low,Intermediate,Toe Walks,Daily
Knee,Senior,Low,Beginner,Leg Raises,Weekly
Knee,Adult,High,Intermediate,Leg Raises,Bi-Weekly
Back,Child,Low,Beginner,Superman Exercise,Daily
Elbow,Teen,High,Advanced,Tricep Dips,Daily
Shoulder,Senior,Low,Beginner,Arm Circles,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Tai Chi,Daily
PCOS,Adult,High,Advanced,Strength Training,Weekly
Ankle,Teen,Medium,Advanced,Calf Raises,Weekly
Osteoporotic,Child,High,Intermediate,Tai Chi,Weekly
Knee,Adult,High,Advanced,Lunges,Weekly
Knee,Senior,Medium,Intermediate,Leg Raises,Weekly
Neck,Teen,Medium,Intermediate,Shoulder Shrugs,Daily
Elbow,Senior,Low,Advanced,Resistance Band Curls,Weekly
Elbow,Senior,High,Intermediate,Tricep Dips,Daily
Ankle,Senior,Low,Intermediate,Calf Raises,Weekly
PCOS,Teen,High,Advanced,Yoga,Bi-Weekly
PCOS,Adult,Medium,Intermediate,Strength Training,Bi-Weekly
Shoulder,Child,Medium,Advanced,Arm Circles,Bi-Weekly
Shoulder,Child,High,Advanced,Shoulder Rolls,Bi-Weekly
Elbow,Senior,High,Advanced,Tricep Dips,Bi-Weekly
Shoulder,Senior,Medium,Advanced,Shoulder Rolls,Bi-Weekly
Knee,Teen,Low,Intermediate,Squats,Daily
PCOS,Teen,High,Beginner,Strength Training,Daily
Elbow,Teen,Medium,Beginner,Wrist Flexor Stretch,Daily
Elbow,Child,Low,Intermediate,Resistance Band Curls,Weekly
Neck,Adult,Low,Beginner,Shoulder Shrugs,Daily
Knee,Child,Medium,Advanced,Leg Raises,Weekly
Osteoporotic,Adult,High,Intermediate,Weight Training,Daily
Shoulder,Adult,High,Intermediate,Shoulder Rolls,Weekly
Shoulder,Child,High,Advanced,Wall Push-ups,Daily
Osteoporotic,Teen,High,Advanced,Balance Exercises,Weekly
PCOS,Teen,High,Intermediate,Strength Training,Weekly
Shoulder,Adult,High,Advanced,Shoulder Rolls,Daily
PCOS,Child,Low,Beginner,Cardio Exercises,Bi-Weekly
Ankle,Adult,Low,Intermediate,Ankle Circles,Daily
Elbow,Adult,Low,Intermediate,Tricep Dips,Weekly
Back,Senior,Medium,Beginner,Cat-Cow Stretch,Bi-Weekly
Shoulder,Senior,Low,Intermediate,Shoulder Rolls,Bi-Weekly
Elbow,Child,Medium,Beginner,Wrist Flexor Stretch,Weekly
Neck,Adult,Medium,Advanced,Shoulder Shrugs,Bi-Weekly
Back,Senior,Low,Intermediate,Cat-Cow Stretch,Weekly
Back,Child,Medium,Intermediate,Superman Exercise,Bi-Weekly
Elbow,Teen,High,Advanced,Tricep Dips,Daily
Osteoporotic,Child,Medium,Beginner,Weight Training,Bi-Weekly
Osteoporotic,Adult,High,Beginner,Weight Training,Daily
Knee,Teen,Low,Advanced,Leg Raises,Bi-Weekly
Neck,Senior,Low,Intermediate,Shoulder Shrugs,Weekly
Shoulder,Teen,High,Advanced,Shoulder Rolls,Bi-Weekly
PCOS,Senior,High,Intermediate,Strength Training,Daily
Elbow,Child,High,Intermediate,Tricep Dips,Weekly
Knee,Senior,Low,Intermediate,Lunges,Bi-Weekly
Ankle,Child,Low,Intermediate,Ankle Circles,Bi-Weekly
Shoulder,Senior,High,Beginner,Arm Circles,Bi-Weekly
Elbow,Senior,Medium,Advanced,Tricep Dips,Daily
Shoulder,Adult,Low,Intermediate,Arm Circles,Daily
Shoulder,Adult,High,Beginner,Shoulder Rolls,Daily
Back,Adult,Medium,Beginner,Deadlifts,Daily
Ankle,Senior,High,Intermediate,Toe Walks,Daily
Shoulder,Senior,Medium,Advanced,Wall Push-ups,Weekly
PCOS,Adult,High,Intermediate,Strength Training,Weekly
Neck,Child,Medium,Beginner,Neck Tilts,Daily
Shoulder,Child,Low,Beginner,Wall Push-ups,Weekly
Osteoporotic,Teen,High,Beginner,Tai Chi,Bi-Weekly
Neck,Adult,High,Beginner,Neck Rotations,Bi-Weekly
Shoulder,Adult,Low,Advanced,Shoulder Rolls,Weekly
PCOS,Child,High,Beginner,Cardio Exercises,Daily
Back,Teen,High,Beginner,Superman Exercise,Bi-Weekly
Back,Adult,Medium,Advanced,Deadlifts,Bi-Weekly
Osteoporotic,Child,High,Beginner,Weight Training,Daily
Neck,Child,High,Beginner,Shoulder Shrugs,Daily
Neck,Adult,Medium,Beginner,Neck Tilts,Weekly
Ankle,Teen,Low,Beginner,Calf Raises,Weekly
Osteoporotic,Adult,Low,Beginner,Weight Training,Weekly
Shoulder,Adult,High,Beginner,Wall Push-ups,Bi-Weekly
Osteoporotic,Adult,High,Advanced,Weight Training,Daily
Knee,Senior,High,Advanced,Leg Raises,Daily
Knee,Adult,Medium,Advanced,Squats,Weekly
PCOS,Senior,High,Advanced,Yoga,Bi-Weekly
Knee,Teen,High,Beginner,Lunges,Daily
Osteoporotic,Teen,High,Intermediate,Balance Exercises,Bi-Weekly
Neck,Senior,High,Beginner,Shoulder Shrugs,Bi-Weekly
Back,Senior,Medium,Beginner,Superman Exercise,Weekly
Shoulder,Child,High,Beginner,Wall Push-ups,Weekly
Back,Senior,High,Beginner,Cat-Cow Stretch,Daily
PCOS,Adult,Low,Intermediate,Strength Training,Daily
Shoulder,Teen,High,Intermediate,Wall Push-ups,Daily
PCOS,Adult,Low,Intermediate,Yoga,Daily
Elbow,Teen,Low,Advanced,Wrist Flexor Stretch,Bi-Weekly
Neck,Child,High,Advanced,Neck Rotations,Bi-Weekly
Shoulder,Senior,Low,Advanced,Shoulder Rolls,Daily
Knee,Teen,High,Advanced,Lunges,Bi-Weekly
Back,Child,High,Advanced,Superman Exercise,Weekly
Ankle,Teen,Medium,Beginner,Ankle Circles,Weekly
Ankle,Adult,High,Beginner,Calf Raises,Bi-Weekly
Ankle,Child,High,Beginner,Calf Raises,Bi-Weekly
PCOS,Adult,Low,Intermediate,Cardio Exercises,Bi-Weekly
Knee,Teen,Medium,Intermediate,Lunges,Bi-Weekly
